loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.488991,0.7486000061035156,1668,2075,1,10,2,128,adam,binary_crossentropy,2,128
0.492228,0.7585999965667725,1833,1960,1,10,2,128,adam,binary_crossentropy,3,128
0.079883,0.7667999863624573,1994,1840,1,10,2,128,adam,huber_loss,2,128
0.157887,0.7681999802589417,1960,1881,1,10,2,128,adam,mean_squared_error,2,128
0.485952,0.7605999708175659,1904,1899,1,10,2,128,Nadam,binary_crossentropy,2,128
0.077551,0.7724000215530396,1898,1964,1,10,2,128,Nadam,huber_loss,2,128
0.159925,0.7652000188827515,1913,1913,1,10,2,128,Nadam,mean_squared_error,2,128
0.489674,0.7541999816894531,1734,2037,1,10,2,128,RMSprop,binary_crossentropy,2,128
0.081609,0.7572000026702881,1641,2145,1,10,2,128,RMSprop,huber_loss,2,128
0.161019,0.7591999769210815,1735,2061,1,10,2,128,RMSprop,mean_squared_error,2,128
0.635195,0.6615999937057495,2360,948,1,10,2,128,SGD,binary_crossentropy,2,128
0.123134,0.6567999720573425,1467,1817,1,10,2,128,SGD,huber_loss,2,128
0.120744,0.6651999950408936,1231,2095,1,10,2,128,SGD,huber_loss,2,128
0.121938,0.6801999807357788,1653,1748,1,10,2,128,SGD,huber_loss,2,128
0.244018,0.6891999840736389,1769,1677,1,10,2,128,SGD,mean_squared_error,2,128
0.239992,0.6603999733924866,2040,1262,1,10,2,128,SGD,mean_squared_error,2,128
0.241279,0.6794000267982483,1534,1863,1,10,2,128,SGD,mean_squared_error,2,128
0.586525,0.7257999777793884,1523,2106,1,10,2,10,adam,binary_crossentropy,3,64
0.506635,0.7454000115394592,1820,1907,1,10,2,20,adam,binary_crossentropy,3,64
0.493241,0.7531999945640564,1769,1997,1,10,2,30,adam,binary_crossentropy,5,128
0.487279,0.7608000040054321,1974,1830,1,10,2,30,adam,binary_crossentropy,5,128
0.526125,0.746999979019165,1792,1943,1,10,2,30,adam,binary_crossentropy,3,64
0.492433,0.7616000175476074,1965,1843,1,10,2,30,adam,binary_crossentropy,5,64
0.507445,0.746999979019165,1902,1833,1,10,2,30,adam,binary_crossentropy,5,64
0.479848,0.7613999843597412,1852,1955,1,10,2,40,adam,binary_crossentropy,5,128
0.482097,0.7635999917984009,1894,1924,1,10,2,40,adam,binary_crossentropy,3,64
0.483171,0.7555999755859375,1820,1958,1,10,2,40,adam,binary_crossentropy,5,64
0.47436,0.7623999714851379,1851,1961,1,10,2,50,adam,binary_crossentropy,3,64
0.50775,0.7468000054359436,1722,2012,1,10,2,75,adam,binary_crossentropy,1,64
0.502699,0.7577999830245972,1857,1932,1,15,2,30,adam,binary_crossentropy,5,128
0.483192,0.7594000101089478,1802,1995,1,15,2,30,adam,binary_crossentropy,5,64
0.488664,0.7591999769210815,1920,1876,1,15,2,40,adam,binary_crossentropy,5,128
0.484586,0.7671999931335449,1886,1950,1,15,2,40,adam,binary_crossentropy,5,64
0.504857,0.7418000102043152,1980,1729,1,20,1,30,adam,binary_crossentropy,1,64
0.503004,0.7459999918937683,1785,1945,1,20,1,30,adam,binary_crossentropy,1,64
0.495807,0.7563999891281128,1893,1889,1,20,2,30,adam,binary_crossentropy,5,128
0.481631,0.7630000114440918,1846,1969,1,20,2,30,adam,binary_crossentropy,5,64
0.475097,0.7692000269889832,1902,1944,1,20,2,40,adam,binary_crossentropy,5,128
0.469233,0.7838000059127808,2036,1883,1,20,2,40,adam,binary_crossentropy,20,64
0.472254,0.7663999795913696,1791,2041,1,20,2,40,adam,binary_crossentropy,5,64
0.466818,0.765999972820282,1872,1958,2,20,1,32,adam,binary_crossentropy,5,32
0.466349,0.7860000133514404,2040,1890,2,20,2,30,adam,binary_crossentropy,20,128
